symbol,name,currency,exchange,mic_code,country,type,added_date,deleted_date
20MICRONS,20 Microns Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
21STCENMGM,21ST CENTURY MANAG,INR,NSE,XNSE,India,Common Stock,2023-09-25,
360ONE,360 One Wam Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
3IINFOLTD,3i Infotech Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
3MINDIA,3M India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
3PLAND,3P LAND HOLDINGS L,INR,NSE,XNSE,India,Common Stock,2023-09-25,
3RDROCK,3rd Rock Multimedia Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
4THDIM,Fourth Dimension Solutions Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
5PAISA,5paisa Capital Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
63MOONS,63 Moons Technologies Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
A2ZINFRA,A2Z Infra Engineering Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AAATECH,AAA Technologies Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AAKASH,Aakash Exploration Services Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARON,Aaron Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTECH,Aartech Solonics Ltd,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTIDRUGS,Aarti Drugs Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTIIND,Aarti Industries Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTIPHARM,Aarti Pharmalabs Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTIPP.E1,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTISURF,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARTISURF.PR.1,Aarti Surfactants Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARVEEDEN,Aarvee Denims and Exports Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AARVI,Aarvi Encon Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AATMAJ.SM,AATMAJ HEALTHCARE,INR,NSE,XNSE,India,Common Stock,2023-09-25,
AAVAS,Aavas Financiers Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABAN,Aban Offshore Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABB,ABB India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABBOTINDIA,Abbott India Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABCAPITAL,Aditya Birla Capital Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABCAPITAL.BL,ADITYA BIRLA CAPIT,INR,NSE,XNSE,India,Common Stock,2023-09-25,2023-11-25
ABCOTS.SM,AB COTSPIN INDIA L,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABFRL,Aditya Birla Fashion and Retail Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABINFRA.SM,A B INFRABUILD LTD,INR,NSE,XNSE,India,Common Stock,2023-09-25,
ABMINTLLTD,ABM International Limited,INR,NSE,XNSE,India,Common Stock,2023-09-25,
